id,paper,category,author,year,conference,attack/defense,method,link,comment
1,Intriguing properties of neural networks,Adversarial Machine Learning,"Christian Szegedy, Wojciech Zaremba, Ilya Sutskever, Joan Bruna, Dumitru Erhan, Ian J. Goodfellow, Rob Fergus",2013,CoRR,Attack,L-BFGS,https://arxiv.org/abs/1312.6199,
2,Adversarial Machine Learning,Adversarial Machine Learning,"Ling Huang, Anthony D. Joseph, Blaine Nelson, Benjamin I. P. Rubinstein, J. D. Tygar",2011,AISec,Introduction,,https://people.eecs.berkeley.edu/~tygar/papers/SML2/Adversarial_AISEC.pdf,
3,Adversarial examples in the physical world,Adversarial Machine Learning,"Alexey Kurakin, Ian J. Goodfellow, Samy Bengio",2016,CoRR,Introduction,,https://arxiv.org/abs/1607.02533,
4,Exploring the space of adversarial images,Adversarial Machine Learning,"Pedro Tabacof, Eduardo Valle",2016,IJCNN,Introduction,,https://ieeexplore.ieee.org/document/7727230/,
5,Analysis of classifiers’ robustness to adversarial perturbations,Adversarial Machine Learning,"A Fawzi, O Fawzi, P Frossard",2015,Machine Learning,Introduction,,https://arxiv.org/abs/1502.02590,
6,Adversarial Examples Are Not Easily Detected: Bypassing Ten Detection Methods,Adversarial Machine Learning,"Nicholas Carlini, David Wagner",2017,AISec,Introduction,,http://arxiv.org/abs/1705.07263,
7,Adversarial machine learning at scale,Adversarial Machine Learning,"Alexey Kurakin, Ian Goodfellow, Samy Bengio",2017,ICLR,Introduction,,https://arxiv.org/pdf/1611.01236.pdf,
8,adversarial examples for generative models,Adversarial Machine Learning,"Jernej Kos, Ian Fischer, Dawn Song",2017,arXiv,Introduction,,https://arxiv.org/abs/1702.06832,
9,Transferability in Machine Learning: from Phenomena to Black-Box Attacks using Adversarial Samples,Adversarial Machine Learning,"Nicolas Papernot, Patrick D. McDaniel, Ian J. Goodfellow",2016,CoRR,Introduction,,http://arxiv.org/abs/1605.07277,
10,The Space of Transferable Adversarial Examples,Adversarial Machine Learning,"Florian Tramèr, Nicolas Papernot, Ian J. Goodfellow, Dan Boneh, Patrick D. McDaniel",2017,CoRR,Introduction,,http://arxiv.org/abs/1704.03453,
11,Adversarial Examples that Fool both Human and Computer Vision,Adversarial Machine Learning,"Gamaleldin F. Elsayed, Shreya Shankar, Brian Cheung, Nicolas Papernot, Alex Kurakin, Ian Goodfellow, Jascha Sohl-Dickstein",2018,CoRR,Introduction,,https://arxiv.org/abs/1802.08195,
12,The Limitations of Deep Learning in Adversarial Settings ,Adversarial Machine Learning,"Nicolas Papernot, Patrick D. McDaniel, Somesh Jha, Matt Fredrikson, Z. Berkay Celik, Ananthram Swami",2016,EuroS&P,Introduction,,https://doi.org/10.1109/EuroSP.2016.36,
13,Adversarial Examples: Attacks and Defenses for Deep Learning,Adversarial Machine Learning,"Xiaoyong Yuan, Pan He, Qile Zhu, Rajendra Rana Bhat, Xiaolin Li",2017,CoRR,Survey,,http://arxiv.org/abs/1712.07107,
14,,Adversarial Machine Learning,,,,Survey,,,
15,,Adversarial Machine Learning,,,,Survey,,,
16,,Adversarial Machine Learning,,,,,,,
17,,Adversarial Machine Learning,,,,,,,
18,,Adversarial Machine Learning,,,,,,,
19,,,,,,,,,
20,,,,,,,,,
21,,,,,,,,,
22,,,,,,,,,
23,,,,,,,,,
24,,,,,,,,,
25,,,,,,,,,
26,,,,,,,,,
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,,,,,,,,,
31,,,,,,,,,
32,,,,,,,,,
33,,,,,,,,,
34,,,,,,,,,
35,,,,,,,,,
36,,,,,,,,,
37,,,,,,,,,
38,,,,,,,,,
39,,,,,,,,,
40,,,,,,,,,
41,,,,,,,,,
42,,,,,,,,,
43,,,,,,,,,
44,,,,,,,,,
45,,,,,,,,,
46,,,,,,,,,
